entity,x,y
http://www.wikidata.org/entity/Q3954348,6.905878,85.201035
http://www.wikidata.org/entity/Q782303,85.70981,21.083345
http://www.wikidata.org/entity/Q3505887,1.7790395,-62.662926
http://www.wikidata.org/entity/Q34222,-2.6236753,-178.6278
http://www.wikidata.org/entity/Q66758968,49.44163,45.622375
http://www.wikidata.org/entity/Q83356,68.694565,-134.64072
http://www.wikidata.org/entity/Q25559590,-116.34024,-119.98661
http://www.wikidata.org/entity/Q48767970,68.250404,-110.51175
http://www.wikidata.org/entity/Q43229,12.522878,-43.86872
http://www.wikidata.org/entity/Q200337,-50.13004,40.36966
http://www.wikidata.org/entity/Q7514021,-119.81894,-70.45371
http://www.wikidata.org/entity/Q463871,8.397778,27.604284
http://www.wikidata.org/entity/Q56577,-128.08656,22.646439
http://www.wikidata.org/entity/Q23883,-23.743362,-87.35684
http://www.wikidata.org/entity/Q7112229,41.392754,7.5797553
http://www.wikidata.org/entity/Q1504968,88.11677,32.097137
http://www.wikidata.org/entity/Q243805,-7.356396,-69.13469
http://www.wikidata.org/entity/Q105626341,-59.63177,87.64705
http://www.wikidata.org/entity/Q2495148,-11.924799,121.014114
http://www.wikidata.org/entity/Q6211983,-5.6419926,4.506907
http://www.wikidata.org/entity/Q151754,46.73739,75.08673
http://www.wikidata.org/entity/Q722409,167.35188,-22.821877
http://www.wikidata.org/entity/Q26160603,23.031822,-43.885895
http://www.wikidata.org/entity/Q2110,-127.35366,8.42686
http://www.wikidata.org/entity/Q1025119,-21.628357,16.998116
http://www.wikidata.org/entity/Q60751997,-14.730202,-30.463152
http://www.wikidata.org/entity/Q3916,-127.35366,8.42686
http://www.wikidata.org/entity/Q5227103,7.7264295,42.564064
http://www.wikidata.org/entity/Q56295,-127.12758,125.30579
http://www.wikidata.org/entity/Q7112266,26.667477,6.917044
http://www.wikidata.org/entity/Q3515188,-7.110191,-189.90599
http://www.wikidata.org/entity/Q11732781,169.96405,65.76893
http://www.wikidata.org/entity/Q10951553,169.96405,65.76893
http://www.wikidata.org/entity/Q3502244,-127.12758,125.30579
http://www.wikidata.org/entity/Q6312054,-58.420918,-15.711317
http://www.wikidata.org/entity/Q73408,31.67067,41.912384
http://www.wikidata.org/entity/Q857545,167.35188,-22.821877
http://www.wikidata.org/entity/Q17586292,-68.82246,-4.8148994
http://www.wikidata.org/entity/Q12208534,0.89068526,14.148039
http://www.wikidata.org/entity/Q191071,96.9215,-24.857496
http://www.wikidata.org/entity/Q2304583,-116.34024,-119.98661
http://www.wikidata.org/entity/Q760888,29.32504,100.35702
http://www.wikidata.org/entity/Q1763214,-63.638474,68.91338
http://www.wikidata.org/entity/Q3304803,169.96405,65.76893
http://www.wikidata.org/entity/Q11786026,-74.67668,39.50822
